symbol,last_date,rows
683TN31A-SG,2025-09-11,1
686PN33-SG,2026-03-05,1
686RJ52-SG,2025-06-11,1
687AP35-SG,2026-01-05,1
687MH33-SG,2026-03-09,2
689GA31-SG,2025-11-12,3
689MH31-SG,2025-07-24,1
68GS2060-GS,2026-04-28,191
690GS2065-GS,2026-04-28,239
691MH33-SG,2026-03-10,1
692GS2039-GS,2026-04-28,151
693GJ31A-SG,2026-02-10,1
694MH31-SG,2025-08-14,1
694TN50-SG,2026-03-05,1
695GS2061-GS,2026-04-28,201
695RJ31-SG,2025-06-02,1
695TN31-SG,2025-03-28,1
695TN31A-SG,2025-10-27,3
697GR2034-GS,2026-04-27,79
697GS2026-GS,2025-07-29,1
697RJ31-SG,2025-10-10,2
698GR2054-GS,2026-04-24,157
698MH28-SG,2025-04-01,1
699GS2051-GS,2026-04-28,234
699PY29-SG,2025-11-12,1
699TN32-SG,2026-02-02,2
702GS2027-GS,2026-04-28,208
702GS2031-GS,2026-04-28,159
704GJ30-SG,2026-01-22,3
704GS2029-GS,2026-04-21,162
704IRFC28-N6,2026-04-27,30
704REC28-N4,2026-04-28,23
705PFCL41-NA,2026-04-21,3
706GS2028-GS,2026-04-27,210
706GS2046-GS,2026-04-27,49
706WB36-SG,2025-06-06,2
707MH33-SG,2026-02-18,1
709GS2054-GS,2026-04-28,263
709GS2074-GS,2026-04-28,264
709KL52-SG,2025-11-20,1
709TN35-SG,2025-08-06,5
709TS58-SG,2026-01-08,2
709TS60-SG,2026-04-28,2
710GS2029-GS,2026-04-27,252
711WB44-SG,2025-09-18,1
712AP37-SG,2026-04-22,1
712MZ34-SG,2025-11-12,3
713HR36-SG,2026-04-08,4
713KL58-SG,2025-07-17,1
713MH37-SG,2026-04-21,13
713TN47-SG,2026-02-27,1
714AP37-SG,2025-11-12,4
714AP41-SG,2026-03-04,1
714CG32-SG,2026-03-19,3
714JK40-SG,2025-12-12,2
715AS35-SG,2026-04-08,2
716GS2050-GS,2026-04-28,138
717GS2028-GS,2026-04-27,27
717GS2030-GS,2026-04-28,227
718GJ28-SG,2026-02-05,3
718GS2033-GS,2026-04-28,184
718GS2037-GS,2026-04-28,262
718MH30-SG,2025-07-28,1
719AP38-SG,2025-10-20,1
719GS2060-GS,2026-04-28,118
719HUDCO28-N7,2026-04-28,46
719PN37-SG,2025-12-10,3
71GS2034-GS,2026-04-27,138
71MH33-SG,2026-04-17,19
71MH36-SG,2025-11-13,3
71WB50-SG,2025-12-15,3
720PFCL36-N6,2026-04-27,9
722KA35-SG,2026-04-21,1
722KA36-SG,2026-01-21,1
722KA38A-SG,2026-04-21,1
723GJ27-SG,2026-04-27,13
723GS2039-GS,2026-04-24,111
724GS2055-GS,2026-04-28,160
725GA35-SG,2025-10-16,1
725GR2028-GS,2025-11-13,2
725GS2063-GS,2026-04-28,269
725HR32-SG,2025-09-16,2
725IRFC35-NH,2026-03-04,12
726GS2029-GS,2026-04-27,35
726GS2032-GS,2026-04-28,230
726GS2033-GS,2026-04-27,165
726MH41-SG,2025-12-11,3
726MH49-SG,2026-01-29,1
728IRFC30-NG,2026-04-27,18
728NTPC30B-N9,2026-04-09,16
729KA36-SG,2026-03-04,1
730PFCL41-NC,2026-04-27,44
732GS2030-GS,2026-04-28,211
733AP33-SG,2025-05-26,2
733GS2026-GS,2026-04-28,224
733HR36-SG,2025-05-28,2
733TN33-SG,2025-06-06,1
733TN52-SG,2025-09-17,4
734GS2064-GS,2026-04-28,269
734IRFC28-N4,2026-04-27,93
734RJ33A-SG,2025-06-06,2
735IRFC31-NM,2026-03-09,10
735NABAR31-N1,2026-03-27,27
735NHAI31-N9,2026-04-16,65
735PFCL35-N1,2026-02-27,5
735TN43-SG,2026-04-27,4
736GS2052-GS,2026-04-27,173
736MH28-SG,2026-03-09,2
736PFCL28-N2,2026-04-28,61
737GR2054-GS,2026-04-27,29
737GS2028-GS,2026-04-28,250
737KA38A-SG,2025-07-29,1
737NTPC35C-NA,2026-04-17,79
738CG32-SG,2026-01-19,2
738GJ30-SG,2026-04-28,3
738GS2027-GS,2026-04-28,270
738HR34-SG,2025-10-28,3
738REC27TF-N2,2026-04-27,143
739CG33-SG,2026-02-16,4
739ML26-SG,2026-04-22,12
739NHAI31A-ND,2026-04-08,68
739TN33-SG,2026-02-12,1
739TN42-SG,2026-01-08,1
739UK30-SG,2026-03-24,4
73GS2053-GS,2026-04-28,246
740IIFCL33-N1,2026-03-27,37
741AP30-SG,2025-07-03,5
741GS2036-GS,2026-04-28,250
741RJ34-SG,2025-12-11,1
742GJ31-SG,2025-12-16,2
742GJ33-SG,2025-08-19,2
742HP38-SG,2025-06-20,1
743AP31-SG,2025-07-07,2
743AP41-SG,2025-11-17,4
743CG29-SG,2026-02-03,4
743GJ31-SG,2025-12-02,5
743GS2076-GS,2026-04-28,62
743MH35-SG,2025-10-08,1
743PN48-SG,2025-08-29,3
743REC35-NH,2026-04-27,102
743TN53-SG,2025-06-25,3
743TS33-SG,2026-04-20,9
744AP33-SG,2026-02-19,7
744AP36-SG,2025-12-08,3
744JK53-SG,2025-12-30,1
744KA35-SG,2025-11-12,1
744KL50-SG,2026-03-19,3
744TS39A-SG,2025-08-14,3
744TS45-SG,2025-11-24,11
744TS48-SG,2025-12-16,1
744TS49-SG,2025-12-17,1
744TS51A-SG,2026-02-05,4
744TS53-SG,2025-11-06,7
745AP34-SG,2025-08-06,2
745AP37-SG,2026-03-10,2
745AP38-SG,2026-01-22,11
745AP42-SG,2025-12-18,1
745BR50-SG,2025-12-17,1
745GJ31-SG,2026-01-28,1
745RJ33-SG,2025-11-19,1
746AP27-SG,2026-01-21,2
746GS2073-GS,2026-04-28,261
746MH33-SG,2026-01-21,4
746TS30-SG,2026-01-23,2
746TS48-SG,2025-12-29,1
746TS49-SG,2025-12-22,1
747AP32-SG,2025-10-03,3
747AS28-SG,2025-10-14,8
747AS33-SG,2025-08-06,2
747HR35-SG,2025-08-12,3
747MH36-SG,2025-07-07,3
747PN43-SG,2025-12-24,1
747WB44-SG,2025-12-01,1
748MH35-SG,2025-12-10,4
749KL45-SG,2025-11-17,4
749MH30-SG,2025-06-10,2
749MH36-SG,2025-12-15,3
749MN35-SG,2025-11-20,1
74AP43-SG,2025-05-13,1
74CG30-SG,2025-12-12,4
74GJ26-SG,2026-02-12,13
74GJ27-SG,2025-12-02,7
74GS2035-GS,2026-04-23,49
74GS2062-GS,2026-04-28,247
750IRFC35-NK,2026-04-23,152
751HUDCO28-N5,2026-04-28,169
751UK35-SG,2026-02-18,2
751UP40A-SG,2026-04-23,3
752AP38-SG,2026-03-12,3
752AP42-SG,2025-06-30,1
752TN33-SG,2026-01-30,4
753IRFC30-NJ,2026-04-28,270
753NTPC30E-NC,2026-04-24,69
753TS47-SG,2026-02-23,1
754CG31-SG,2025-08-07,3
754GS2036-GS,2026-04-28,270
754RJ33-SG,2025-09-08,2
755GJ31-SG,2026-04-02,18
755TS30-SG,2025-08-05,2
755TS32-SG,2025-08-07,1
