symbol,instrument_token,name,generated_date
FEDERALBNK,261889,FEDERAL BANK,2026-06-26
AARON,263681,AARON INDUSTRIES,2026-06-26
FINCABLES,265729,FINOLEX CABLES,2026-06-26
FINPIPE,266497,FINOLEX INDUSTRIES,2026-06-26
AXISBNKETF,267265,AXIS NIFTY BANK ETF,2026-06-26
UFLEX,269569,UFLEX,2026-06-26
FOSECOIND,274689,FOSECO INDIA,2026-06-26
ZENSARTECH,275457,ZENSAR TECHNOLOGIES ,2026-06-26
GABRIEL,277761,GABRIEL INDIA,2026-06-26
GARFIBRES,281601,GARWARE TECH FIBRES,2026-06-26
DANGEE,284161,DANGEE DUMS,2026-06-26
GHCL,288513,GHCL,2026-06-26
APOLLO,290305,APOLLO MICRO SYSTEMS,2026-06-26
GICHSGFIN,291585,GIC HOUSING FINANCE,2026-06-26
GINNIFILA,292353,GINNI FILAMENTS,2026-06-26
GIPCL,293121,GUJ IND POW CO.,2026-06-26
GLAXO,295169,GLAXOSMITHKLINE PHARMA LT,2026-06-26
GTL,297473,GTL,2026-06-26
NEWGEN,297985,NEWGEN SOFTWARE TECH,2026-06-26
GMBREW,299009,G M BREWERIES,2026-06-26
GNFC,300545,GUJ NAR VAL FER & CHEM L,2026-06-26
GODFRYPHLP,302337,GODFREY PHILLIPS INDIA LT,2026-06-26
AMBER,303361,AMBER ENTERPRISES (I),2026-06-26
GLAND,303617,GLAND PHARMA,2026-06-26
FMGOETZE,304641,FEDERAL-MOGUL GOETZE (IND,2026-06-26
KANSAINER,306177,KANSAI NEROLAC PAINTS,2026-06-26
ESG,307201,MIRAE ASSET NIFTY 100 ESG SECTOR LEADERS ETF,2026-06-26
GOODYEAR,308481,GOODYEAR INDIA,2026-06-26
DELTAMAGNT,310785,DELTA MANUFACTURING,2026-06-26
GRASIM,315393,GRASIM INDUSTRIES,2026-06-26
GREAVESCOT,316161,GREAVES COTTON,2026-06-26
GSFC,319233,GUJ STATE FERT & CHEM,2026-06-26
CASTROLIND,320001,CASTROL INDIA,2026-06-26
GUJALKALI,324353,GUJARAT ALKALIES & CHEM,2026-06-26
AMBUJACEM,325121,AMBUJA CEMENTS,2026-06-26
GFLLIMITED,329985,GFL,2026-06-26
HARRMALAYA,336129,HARRISON MALAYALAM,2026-06-26
GALAXYSURF,336641,GALAXY SURFACTANTS,2026-06-26
MARINE,339969,MARINE ELECTRICAL (I),2026-06-26
HDFCBANK,341249,HDFC BANK,2026-06-26
HEG,342017,HEG,2026-06-26
SDBL,342529,SOM DIST & BREW,2026-06-26
HEROMOTOCO,345089,HERO MOTOCORP,2026-06-26
HIMATSEIDE,348161,HIMATSINGKA SEIDE,2026-06-26
HINDALCO,348929,HINDALCO  INDUSTRIES ,2026-06-26
HINDCOMPOS,351233,HINDUSTAN COMPOSITES,2026-06-26
HCC,352001,HINDUSTAN CONSTRUCTION CO,2026-06-26
HINDUNILVR,356865,HINDUSTAN UNILEVER,2026-06-26
HINDOILEXP,359169,HINDUSTAN OIL EXPLORATION,2026-06-26
HINDPETRO,359937,HINDUSTAN PETROLEUM CORP,2026-06-26
AGI,361473,AGI GREENPAC,2026-06-26
GLOBAL,362241,GLOBAL EDUCATION,2026-06-26
HINDZINC,364545,HINDUSTAN ZINC,2026-06-26
SANOFI,369153,SANOFI INDIA,2026-06-26
HLVLTD,370689,HLV,2026-06-26
BIRLANU,372481,BIRLANU,2026-06-26
ACCURACY,375041,ACCURACY SHIPPING,2026-06-26
JSWDULUX,375553,JSW DULUX,2026-06-26
IDBI,377857,IDBI BANK,2026-06-26
IFBIND,380161,IFB INDUSTRIES,2026-06-26
IFCI,381697,IFCI,2026-06-26
RBA,382465,RESTAURANT BRAND ASIA,2026-06-26
MOGSEC,385793,MOTILAL OSWAL NIFTY 5 YEAR BENCHMARK G-SEC ETF,2026-06-26
ASTERDM,386049,ASTER DM HEALTHCARE,2026-06-26
INDHOTEL,387073,THE INDIAN HOTELS CO.,2026-06-26
INDIACEM,387841,THE INDIA CEMENTS,2026-06-26
