symbol,close,open,high,low,price_down,close_gt_ema20,close_gt_ema50,close_gt_ema200,breakout20,within_15pct_52w_high,volume_ratio,turnover_cr,turnover_ratio,up_day_volume_above_avg,cmf20,cmf_rising,latest_delivery_pct,latest_delivery_above_avg20,delivery_ratio,delivery_percentile,delivery_zscore,consecutive_high_delivery_days,delivery_slope_positive,delivery_sparkline,absorption_day,failed_breakdown_reclaim,failed_breakout,resistance_touches,stock_return_20d,stock_return_50d,rs_raw_20,rs_raw_50,rs_trend,outperform_benchmark_50d,rs_percentile,ics,rating,stage,delivery_tag,regime,action_rank,action,reason,sector,sector_score
LLOYDSENT,79.04,80.35,81.37,78.12,True,True,True,True,False,True,0.3409352126006767,17.308266144000005,0.34206259826876767,False,0.08462677011567699,True,50.9,True,1.2794088075608285,68.0,0.31,0,False,▆▄▆▅▅█▁▂▂▃▁▄▅▇▂▄▅▅▆▇,False,False,False,9,0.07260143845840705,0.15050946142649213,0.07245950288296465,0.11330078668040522,FLAT,True,74,50.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Distribution Services,25.4
SHADOWFAX,220.32,216.19,221.54,214.4,False,True,True,True,False,True,0.35254836998295663,86.284670688,0.36102317850142174,False,0.4631873624044162,True,54.0,True,1.0398913891215806,73.0,0.55,0,True,▄▇▅▃▅▆▁▂▄▅▃▆▄▁▆▆▇█▅▅,False,False,False,1,-0.042086956521739105,0.14755976873795507,-0.0422288920971815,0.11035109399186815,FLAT,True,73,50.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Technology Services,36.7
GOCOLORS,343.0,323.75,355.0,309.0,False,True,True,False,False,False,5.0082267089824954,67.3935318,5.007159521668758,True,-0.08118144882560871,True,11.68,False,0.41411831445336733,7.0,-1.83,0,True,▃▃▂▅▄▃▃▃▃▃▄▄▆▆▆▃▄█▆▁,False,True,False,0,-0.047222222222222276,0.13783380328412687,-0.047364157797664674,0.10062512853803995,FLAT,True,71,50.0,IGNORE,NONE,,NEUTRAL,C,WAIT,No standout factor,Consumer Non-Durables,32.4
ASKAUTOLTD,508.0,510.05,524.7,505.05,True,True,True,True,False,True,0.7285278186478038,12.0222264,0.7638566494195057,False,0.0371719656283505,False,58.26,True,1.110465171687522,87.0,0.95,0,True,▄▄▅▁▁▂▇▆▄█▃▄▄▇▆▂▅▅▇▆,False,False,False,13,0.11538039301789449,0.1387581259807218,0.11523845744245209,0.10154945123463488,UP,True,71,50.0,IGNORE,SEED,,NEUTRAL,C,WAIT,CMF positive,Producer Manufacturing,26.7
ABCAPITAL,397.85,393.8,398.5,389.75,False,True,True,True,False,True,0.8739340778072543,118.654982925,0.8705562553694483,False,0.12153684393239104,True,42.04,False,0.8763080001667569,35.0,-0.44,0,True,▅▁▆▄▁▄▂▅▂▄█▇▅▅▅▂▃▃▄▂,False,False,False,8,0.011954724659799076,0.1328302961275627,0.011812789084356679,0.09562162138147579,FLAT,True,70,50.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Finance,29.1
BOSCHLTD,41100.0,41355.0,41630.0,39705.0,True,False,True,True,False,True,1.6940412840294083,192.00687,1.6744660960917277,False,0.03625533881404469,False,44.77,False,0.9736312727668135,58.0,0.09,0,False,▅▇▇█▇▃▅▄▄█▁▇▅▂▂▄▅▅▃▄,False,True,False,10,0.007723427730783383,0.106176826806621,0.007581492155340985,0.06896815206053408,FLAT,True,65,50.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Producer Manufacturing,26.7
ARE&M,906.85,882.9,921.8,875.4,False,True,True,True,False,True,1.959563630372744,149.281747545,2.009794723475642,True,-0.011532326204368332,True,35.7,False,0.8156271418779988,8.0,-1.25,0,False,▅▆█▂▂█▅█▅▅▂▂▂▁▇▆▇▃▅▂,False,False,False,8,0.05111561866125758,0.10396250532594808,0.05097368308581518,0.06675383057986117,FLAT,True,64,50.0,IGNORE,NONE,,NEUTRAL,C,WAIT,No standout factor,Producer Manufacturing,26.7
SAPPHIRE,195.25,193.68,205.06,191.23,False,True,True,False,True,False,3.1146757619805627,64.669943525,3.2962578569210237,True,0.04594779307840649,False,41.6,False,0.8123016841591408,23.0,-0.59,0,True,▆▇▅▅▇▅▆▆▆▇▇▆▆▆█▁▂▄▃▄,False,False,False,2,0.056033317107469394,0.07039087769310903,0.055891381532026996,0.03318220294702212,UP,True,57,50.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Consumer Services,29.1
VADILALIND,7263.5,7250.0,7449.0,7212.0,True,True,True,True,False,True,2.9044615266746687,33.0431142,3.1340857197832075,False,0.12846738028357851,False,31.82,False,0.6440382941688425,2.0,-1.85,0,False,▇▄▇▆██▆▂▁▃▇▄▇▅▃▃▅▅▅▁,False,False,True,16,0.17077691811734375,0.6915463437354448,0.17063498254190135,0.6543376689893579,FLAT,True,99,49.0,IGNORE,NONE,,NEUTRAL,C,WAIT,"CMF positive, RS leader",Consumer Non-Durables,32.4
CEMPRO,1358.7,1341.2,1385.0,1274.6,False,False,True,True,False,False,1.0639033970448635,109.78296,0.9668137699314404,True,0.10497455619810311,False,46.54,False,0.8258508712779927,44.0,-0.07,0,True,▃▅▃▄▅▅▆▄▅▄█▇▅▅▂▄▄▁▃▃,False,False,False,11,-0.05078943691490856,0.5470538001707943,-0.05093137249035096,0.5098451254247074,FLAT,True,97,49.0,IGNORE,NONE,,NEUTRAL,C,WAIT,"CMF positive, RS leader",Industrial Services,20.4
