symbol,close,price_down,close_gt_ema20,close_gt_ema50,close_gt_ema200,breakout20,within_15pct_52w_high,volume_ratio,turnover_cr,turnover_ratio,up_day_volume_above_avg,cmf20,cmf_rising,latest_delivery_pct,latest_delivery_above_avg20,delivery_ratio,delivery_percentile,delivery_zscore,consecutive_high_delivery_days,delivery_slope_positive,delivery_sparkline,stock_return_20d,stock_return_50d,rs_raw_20,rs_raw_50,rs_trend,outperform_benchmark_50d,rs_percentile,ics,rating,stage,delivery_tag,regime,action_rank,action,reason
PWL,146.05,False,True,True,True,True,True,4.4809516396751645,827.8691481700001,5.614847493642107,True,0.21385774196782456,True,12.89,False,0.4740626321693239,13.0,-1.25,0,False,▁▃█▇▄▄▆▃▃▆▄▃▃▅▄█▆▅▄▂,0.38396664455605056,0.3593633655994044,0.34379704780410925,0.31314177553507627,UP,True,91,70.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,"CMF positive, RS leader"
DIAMONDYD,1225.1,False,True,True,True,True,True,1.9800149715522382,6.6914962,2.105596730342328,True,0.2918577902009613,True,60.06,True,1.0089115480560058,55.0,0.09,0,True,▇▃▄▃▄▇▇▁▆▅█▇▇▃▆▃▁▄▆▅,0.08195707851276168,0.2219230001994812,0.041787481760820366,0.17570141013515306,FLAT,True,82,70.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,CMF positive
JBCHEPHARM,2422.0,False,True,True,True,True,True,3.6302391263830853,199.3155836,3.9022030238435628,True,0.26810319672647837,True,72.91,True,1.2409051067559633,89.0,1.16,0,True,▇▁▂▃█▅▃▄▂▃▃▄▄▅▆▅▃▂▄█,0.09582843181612533,0.18290598290598292,0.05565883506418401,0.1366843928416548,FLAT,True,77,70.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,CMF positive
GODREJPROP,2043.1,True,True,True,True,False,False,1.6757314775239474,215.63572054000002,1.850618263380309,False,0.2548183923015749,False,61.21,True,1.522447456783982,96.0,1.73,1,True,▂▄▁▃▅▂▅▅▅▅▄▃▃▆▆▄▅▆▆█,0.21302618298402898,0.11754731429821685,0.17285658623208766,0.07132572423388872,UP,True,65,69.0,WATCH,SEED,DEL61% ▂▄▁▃▅▂▅▅▅▅▄▃▃▆▆▄▅▆▆█ P96 Z+1.7,GREEN,C,WATCHLIST,"Delivery P96, CMF positive"
CAPILLARY,529.8,False,True,True,False,True,False,1.9413451199765062,37.99964009999999,2.0164894675547,True,0.09371501589414184,True,72.57,True,1.2342571411563612,95.0,1.92,0,True,▅█▁▃▃▄▄▇▅▅▃▄▄▆▇▄▄▇█▆,0.05537848605577689,-0.03986951794128313,0.015208889303835571,-0.08609110800561126,UP,False,27,69.0,WATCH,BREAKOUT,,GREEN,C,WATCHLIST,"Delivery P95, CMF positive"
NUVAMA,1917.1,False,True,True,True,True,True,0.9028142498502142,92.45502315,0.9999748932817204,False,0.137487383067877,True,60.67,True,1.328996078946792,99.0,2.0,0,True,▂▄▄▄▅▃▁▆▆▇▇▅▅▄▃▃▇▁▅█,0.23143627954779022,0.410047072668432,0.1912666827958489,0.36382548260410386,FLAT,True,93,68.0,WATCH,NONE,,GREEN,C,WATCHLIST,"Delivery P99, CMF positive, RS leader"
GRAVITA,1787.4,False,True,True,True,True,True,1.4791905014134263,46.82022804,1.5647825203741021,True,0.06962217806322883,True,53.88,True,1.1142821690035984,77.0,0.68,0,True,▆▆██▆▁▅▆▅▇▄▇▇▄▇█▇▆▆▇,0.12627599243856347,0.10812151270923742,0.08610639568662215,0.06189992264490929,UP,True,63,68.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
UJJIVANSFB,61.62,False,True,True,True,True,True,1.8016071996391114,124.022099526,1.913729929296063,True,0.1336391727995537,True,48.02,False,0.8823556433460426,34.0,-0.38,0,True,▄▅▇▂▃▅▆▁▃▄▃▂▂▆▆▅█▂▂▁,0.14216867469879513,0.071279554937413,0.10199907794685381,0.02505796487308487,UP,True,56,68.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
EPL,245.09,False,True,True,True,True,True,1.6858196090873556,23.102207909,1.8012794554724099,True,0.14842790737161884,True,49.33,False,0.9130366380706479,33.0,-0.37,0,True,▄█▁▂▃▂▅▄▃▂▅▃▃▅▄▃▁▁▄▂,0.13106280862061004,0.06867532920554642,0.09089321186866872,0.022453739141218287,UP,True,55,68.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
PNBHOUSING,1109.7,False,True,True,True,True,True,3.0733295787272104,250.82404839,3.3321310345636768,True,0.09251053091569922,True,58.81,True,1.1433959696312788,86.0,1.08,0,False,▃▅▇▇▆▅▄▃▄▁▂▆▆▄█▆▃▅▄▆,0.12204246713852385,0.05988538681948419,0.08187287038658253,0.013663796755156055,UP,True,52,68.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
SPARC,266.34,False,True,True,True,True,True,2.2497864992552277,180.13719461999997,2.5587331422384842,True,0.14429037375043063,False,22.02,False,0.617109227212219,9.0,-1.26,0,True,▃▄▄▄▇▆▃▄▅▃▃▅▅▄██▅▇▄▁,0.27319661551699403,0.8152944383860412,0.23302701876505272,0.7690728483217131,FLAT,True,99,67.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
SATIN,263.29,False,True,True,True,True,True,2.537411855251725,32.915936562,2.7524107707377805,True,0.017417385160428008,True,46.5,False,0.9903731470437894,17.0,-0.94,0,True,▃▅▇▅▁▅▄▄▇▇▂▆▆█▇▄█▃▅▅,0.08752581577860408,0.5294220156839966,0.04735621902666276,0.48320042561966847,FLAT,True,96,67.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
PRESTIGE,1673.3,True,True,True,True,False,True,1.7147919862929841,249.82904456,1.8517957290885985,False,0.271053836462222,False,70.69,True,1.4067381743646892,99.0,2.13,0,True,▃█▂▄▄▅▅▅▅▂▃▄▄▁▃▂▅▄▅█,0.23581979320531765,0.19087609422816887,0.19565019645337633,0.14465450416384074,UP,True,78,67.0,WATCH,SEED,,GREEN,C,WATCHLIST,"Delivery P99, CMF positive"
PHOENIXLTD,2075.1,True,True,True,True,False,True,3.959822510747979,539.3103971099999,4.247243992518329,False,0.11100703376610231,False,74.18,True,1.362901447784229,98.0,1.86,0,True,▃▂▂▂▂▃▂▂▇▁▁▃▃▅▃▃█▅▅█,0.1829998289721224,0.15302550425070827,0.1428302322201811,0.10680391418638013,UP,True,72,67.0,WATCH,SEED,,GREEN,C,WATCHLIST,"Delivery P98, CMF positive"
CUPID,221.11,False,True,True,True,True,True,3.271618976548711,1905.6432346330002,4.06051837156743,True,0.7544788913075965,True,17.32,False,0.5602095934275642,7.0,-1.49,0,False,▆▂▅▇▄▆▃█▂▅▄▅▅▆▄▅▅▄▃▁,0.5159056629644865,0.9696240869410298,0.47573606621254516,0.9234024968767016,FLAT,True,99,66.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
JAYBARMARU,187.6,False,True,True,True,True,True,1.357284455074991,36.00197832,1.5871240086743181,True,0.34831549750338564,True,38.5,False,0.9734759412374523,20.0,-0.91,0,True,▃▂▄▃▁▃▅▄▇▄▄▃▃▅▄▆▅▂█▄,0.3513902895836336,1.0206807410598877,0.3112206928316923,0.9744591509955596,FLAT,True,99,66.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
RUBYMILLS,336.2,False,True,True,True,True,True,14.940569566628453,46.50886578,18.90604946609948,True,0.4456975572180055,True,20.45,False,0.3764346393498449,1.0,-2.52,0,False,▅▇▅▆▇▆█▅▄▄█▃▃▄▄▆▇▁▃▂,0.475920804249528,0.7608547635258993,0.43575120749758667,0.7146331734615712,FLAT,True,99,66.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
WABAG,2203.2,False,True,True,True,True,True,1.7822411636535906,396.52180128,2.0000976419202954,True,0.34277184750098033,True,28.61,False,0.7628417923182551,3.0,-2.1,0,False,▇▆▇█▁▆▄▃▃▂▃▃▃▆▇▅▅▄▃▃,0.38889239109878315,0.4687999999999999,0.34872279434684184,0.42257840993567175,FLAT,True,95,66.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
ADANIENT,3209.9,False,True,True,True,True,True,1.2908247747713633,905.4136040899999,1.3700090202069135,True,0.17287903131891585,True,42.29,True,1.3069209017723318,88.0,1.15,0,True,▁▁▃▄▂▃▄█▃▃▁▂▂▅▆▆▄▂▅▅,0.07975645855758873,0.44200359389038635,0.03958686180564741,0.3957820038260582,FLAT,True,94,66.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
GLAND,2550.0,False,True,True,True,True,True,1.4672291623252463,286.368825,1.6157823766542232,True,0.09163883319178275,True,38.0,False,0.7175023366030041,10.0,-1.2,0,True,▃▂▃▃▅██▆▇▃▄▄▄▆▁▄█▂▆▂,0.11426698710946037,0.4362151506617855,0.07409739035751906,0.3899935605974574,FLAT,True,94,66.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
AEQUS,244.9,False,True,True,True,True,True,2.6662525033323545,567.04640698,2.996684342234649,True,0.1975187567268056,True,23.18,False,0.7927089923567532,16.0,-0.98,0,False,▇▅█▁▃▆▅▃▂▄▃▃▃▄▅▄▄▃▃▃,0.30955563873589664,0.3266522210184182,0.2693860419839553,0.28043063095409004,FLAT,True,90,66.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
TBZ,198.71,False,True,True,True,True,True,4.635108730790457,61.882963685,4.911932070137042,True,0.14839648693425891,True,21.58,False,0.5241171613153932,5.0,-1.85,0,False,▆▆▁▃▄▅▆▆▆▆▆██▅▄▄▆▇▇▂,0.17143194010493445,0.327565473009086,0.13126234335299314,0.2813438829447579,FLAT,True,90,66.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
ASKAUTOLTD,467.95,False,True,True,True,False,False,6.671248078860727,40.63462543,6.849168243291373,True,0.10524785085346453,True,53.84,True,1.0576668074531723,76.0,0.48,0,True,▆▄█▄█▇▅▄▅██▁▁▆▇▇▅▅▅▆,0.0913013059701493,0.07438870393755015,0.05113170921820798,0.028167113873222016,UP,True,57,66.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
KERNEX,2190.2,True,True,True,True,False,True,1.5725557155606682,81.13968234,1.6451859169388445,False,0.1232038426281147,False,45.89,True,1.1394023662027783,51.0,-0.05,0,True,▂▁▅▆▆▅██▄▆▅▇▇▅▇▃▃▅▄▇,0.15889729615323556,0.635698282300224,0.11872769940129424,0.5894766922358958,FLAT,True,98,65.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
INDUSINDBK,1022.25,False,True,True,True,True,True,2.5435612934124494,593.400280125,2.769512157842498,True,0.24163734653263944,False,59.42,True,1.2721998008842452,87.0,1.18,0,True,▃▃▃▂▄▁▁█▆▄▂▃▃█▂▄▄▂▃▆,0.10776983094928494,0.13564405932344603,0.06760023419734362,0.0894224692591179,FLAT,True,70,65.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
BAJAJFINSV,1890.0,False,True,True,True,True,True,1.6850682006427198,381.775275,1.8119015644402088,True,0.15687333398508713,True,43.21,False,0.7824071559201116,11.0,-1.37,0,True,▃▄▅▅▅▃▆▅█▅▄▃▃█▂▅▁▁▇▁,0.10539244356065036,0.020849087177271297,0.06522284680870905,-0.025372502887056836,UP,False,43,65.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
BUTTERFLY,741.25,False,True,True,True,True,True,1.5585509564440159,7.858510125,1.6863567972476343,True,0.34339527596674574,True,45.68,False,0.996129313634629,32.0,-0.35,0,True,▅▆▅▆▆▃▅▄▃▄▅▇▇█▆▆▅▁▅▅,0.14381606357534138,0.22207567389333116,0.10364646682340006,0.17585408382900303,FLAT,True,82,64.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
EQUITASBNK,79.24,False,True,True,True,True,True,2.071596572025898,61.094895791999996,2.149239251781178,True,0.12928866118214183,True,54.8,True,1.080068982508007,66.0,0.37,0,False,▇▆▂▆▄▆▆▄▆▄▂▄▄▁▆▃▂▄█▆,0.056815150706855055,0.17671517671517667,0.01664555395491374,0.13049358665084854,FLAT,True,76,64.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
SHAREINDIA,164.91,False,True,True,True,True,False,173.3782588092673,890.5742251319999,210.122904956316,True,0.8938007386913134,True,6.76,False,0.14688786762708736,0.0,-2.77,0,True,▅▄▃▅▄▄▃▄▆▄▄▅▅█▄▄▅▄▅▁,0.24141824751580843,0.12482095355023515,0.2012486507638671,0.07859936348590701,UP,True,67,64.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
TAJGVK,361.95,False,True,True,True,True,False,12.873801237945965,35.080809314999996,13.902963048803585,True,0.23837239515335976,True,33.45,False,0.6607537926675096,9.0,-1.46,0,True,▂▅▇▇▆▆▆▄▄▃▃▇▇▅▅▃▆▇█▁,0.09515885022692894,0.09021084337349383,0.05498925347498762,0.0439892533091657,UP,True,60,64.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
VENUSPIPES,1845.4,False,True,True,True,True,True,1.4686614481048577,45.61810346,1.6432391746127353,True,0.18537875611426533,False,55.18,True,1.1253186499439176,69.0,0.38,0,True,█▄▅▅▁▇▅▂▁▄▂▂▂▃▇▂▂▄▄▆,0.30777407696123604,0.289227329886824,0.2676044802092947,0.24300573982249585,UP,True,88,63.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
MRF,138650.0,False,True,True,True,True,True,1.8496592596435033,197.756495,1.9853247002876013,True,0.02554817695082659,True,46.18,False,0.9688450645127452,83.0,0.85,0,True,▇▇▅▃▅▆▆▇▆▄▅▂▂█▅▃▇▁▂▄,0.12953156822810596,0.04875004727506527,0.08936197147616465,0.002528457210737134,UP,True,50,63.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
VADILALIND,6492.0,False,True,True,True,True,True,0.7172771508171886,9.0673764,0.7645136296662804,False,0.15482347144895425,True,58.98,True,1.1475824496546356,79.0,0.76,0,True,▂▁▃▃▆▄▅█▆▅▄▅▅▄▆▆▆▆▃▆,0.1275531471446436,0.3830716461790835,0.08738355039270229,0.3368500561147554,FLAT,True,92,62.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
AMIRCHAND,173.0,False,True,True,True,True,True,1.2598750685133493,19.6303273,1.5372692831215207,True,0.29141432668764117,True,57.47,True,1.3211646110874837,68.0,0.47,0,False,█▆▅▄▁▂▁▁▂▂▃▅▅▃▃▂▆▅▇▇,0.44781990124696636,0.2591891695174322,0.40765030449502504,0.21296757945310407,UP,True,86,62.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
ITDC,702.8,False,True,True,True,True,True,48.87707772422987,958.3606398799999,57.09839786556651,True,0.636872248904491,True,6.74,False,0.24167234393488474,2.0,-2.34,0,False,▂▂▄▂▃▄▅▅▄▅▃▆▆▅▅▆▆█▆▁,0.18336420272773202,0.1682180851063828,0.1431946059757907,0.12199649504205468,UP,True,75,62.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
JAIBALAJI,80.87,False,True,True,False,False,False,2.8698234848400936,70.715024708,2.9321160343909725,True,0.15603340918188408,True,38.02,True,1.0810964513193813,37.0,-0.39,0,True,▃▆█▆▅▁▄▄▄▃▄▅▅▄▅▅▆▁▇▆,0.17646203084084977,0.1231944444444446,0.13629243408890845,0.07697285438011647,UP,True,67,62.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
CAPITALSFB,295.25,False,True,True,True,False,True,2.2880361939171756,3.187902825,2.3454881690737506,True,0.09849317133967588,True,73.7,True,1.257915308334329,82.0,0.86,0,True,▅▄▇▄▇▆▅▅▇█▄▆▆▇▆▇▁▄██,0.08130379051455772,0.11985586952399019,0.0411341937626164,0.07363427945966206,FLAT,True,66,62.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
OBEROIRLTY,1906.4,True,True,True,True,False,True,1.4957856345254092,177.36669,1.6108077342242924,False,0.08246847662492766,False,62.97,True,1.3508817093577037,90.0,1.29,0,True,▆▅▇▇▇▁▇▃▇▄▄▄▄▆▅▆█▅▆█,0.16777947932618686,0.10624963732373938,0.12760988257424555,0.060028047259411244,UP,True,63,61.0,WATCH,SEED,,GREEN,C,WATCHLIST,"Delivery P90, CMF positive"
GANECOS,1101.6,False,True,True,True,True,False,1.5520255160678171,33.583047119999996,1.7527077574383612,True,0.4296598588540333,True,43.53,False,0.8425596159801796,27.0,-0.43,0,True,▇▅▅▄▅▄▄▃▅▅▅██▄▄▅▅▁▄▄,0.1900826446280992,0.040079308879761966,0.1499130478761579,-0.006142281184566167,UP,False,49,61.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
EIHOTEL,336.95,False,True,True,True,True,False,1.5620691799918331,9.731722509999999,1.6528348197987701,True,0.1748473561046275,True,55.25,True,1.057679422631468,68.0,0.33,0,False,▆▅▅▅▂▅▄▃▅▄▄███▄▁▆▃▄▅,0.15730722995019764,0.02525483036665155,0.11713763319825632,-0.020966759697676585,UP,False,46,61.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
HFCL,226.04,False,True,True,True,True,True,1.172350953224659,719.890700136,1.3473846544654657,True,0.22168857824033592,True,37.21,False,0.8937514261352036,71.0,0.4,0,True,▆▂██▃▁▆▅▃▂▃▄▄▁▃▃▅▆▅▃,0.2698163024549183,1.1186615427875153,0.22964670570297696,1.0724399527231872,FLAT,True,100,60.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
SKYGOLD,574.65,False,True,True,True,True,True,1.1837675729720416,70.442033625,1.3094045005608088,True,0.0906313258102383,True,43.17,False,0.911971607833196,32.0,-0.36,0,True,▃▃▄▃▃▂▁▃▄█▅▇▇▄▂▃▁▁▂▃,0.12006627034402118,0.36044034090909083,0.07989667359207986,0.3142187508447627,FLAT,True,92,60.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
GANDHAR,192.65,False,True,True,True,True,True,1.1247507088163624,27.895257640000004,1.2275011696624378,True,0.1894929557227697,True,38.09,False,0.92059310461505,25.0,-0.65,0,True,▅▅▆███▁▄▆▃▅▅▅▃▆▆▆█▄▅,0.20904983055102289,0.35382993675333796,0.16888023379908157,0.3076083466890098,FLAT,True,91,60.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
ZYDUSLIFE,1142.9,False,True,True,True,True,True,1.5092795887860697,212.43082300000003,1.5754977677252306,True,-0.04150136587150332,True,53.2,True,1.009698419024844,56.0,0.22,0,True,▃▃▃▃▇█▆▆▇▁▄▆▆▇▅▄▄▄▆▅,0.053752535496957465,0.2307775145380142,0.013582938745016149,0.18455592447368607,FLAT,True,83,60.0,WATCH,NONE,,GREEN,C,WATCHLIST,No standout factor
INDHOTEL,726.8,False,True,True,True,False,True,1.5157749369538038,291.0939386,1.572109634986234,True,0.013989395137595473,False,62.06,True,1.042254467284697,65.0,0.41,0,True,▁▆▅▅▄▅▅▁▅█▆▇▇▆█▅▇▇▃▆,0.09863200060464061,0.10171289980294063,0.058462403852699296,0.05549130973861249,UP,True,62,60.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
JUBLINGREA,682.95,True,True,True,True,False,False,1.5449335617926845,30.465921435000002,1.6330212668005755,False,0.15418207130965564,False,67.49,True,1.1969495433182582,96.0,1.66,0,True,▅▄▅▅▄▃▃█▆▅▃▄▄▄▅▁▃▄▄▆,0.09167199488491051,-0.07031037299210452,0.051502398132969196,-0.11653196305643265,UP,False,19,60.0,WATCH,SEED,,GREEN,C,WATCHLIST,"Delivery P96, CMF positive"
CEMPRO,1494.0,True,True,True,True,False,True,2.140730245997607,200.2306608,2.5118979115302382,False,0.14013568830086207,False,44.2,False,0.8851684223174592,34.0,-0.24,0,True,▁▅▃█▃▄▂▆▄▅▅▇▇█▇▅▆▄▇▄,0.2410699451736169,1.2550943396226417,0.2009003484216756,1.2088727495583136,FLAT,True,100,59.0,WATCH,NONE,,GREEN,C,WATCHLIST,"CMF positive, RS leader"
BLISSGVS,527.1,False,True,True,True,False,True,0.35569503174414324,20.72968338,0.3979034185775732,False,0.20976216365175146,False,53.68,True,1.2372084447312621,93.0,1.41,0,True,▆▄▄▆▅▄▆▇▅▄▅▇▆█▃▃▁▃▆▇,0.15541429197720302,0.9266055045871562,0.1152446952252617,0.880383914522828,FLAT,True,99,59.0,WATCH,SEED,,GREEN,C,WATCHLIST,"Delivery P93, CMF positive, RS leader"
ACUTAAS,3391.0,True,True,True,True,False,True,1.1509474903056944,161.5204511,1.1621192442399662,False,0.18144760053643036,False,60.77,True,1.2798534181373995,91.0,1.27,0,True,▁▄▄▅▆▄▄▄▃▄▇▆▆█▂▅▁▄▅█,0.06011817300778444,0.3593361661188168,0.01994857625584312,0.31311457605448867,FLAT,True,91,59.0,WATCH,SEED,,GREEN,C,WATCHLIST,"Delivery P91, CMF positive, RS leader"
LODHA,1006.2,False,True,True,True,True,False,2.011946223974062,398.86059798,2.1907897089815482,True,0.004066616355549742,True,49.02,True,1.2060078973589363,44.0,-0.11,0,False,▇▅▇▇▄▁▄▇▇▂▅▄▄▇▅▅▇▇█▇,0.14113977884888018,0.13720614828209765,0.10097018209693887,0.09098455821776952,UP,True,70,59.0,WATCH,NONE,,GREEN,C,WATCHLIST,CMF positive
